home.name,away.name,home.number,away.number,home.goals,home.behinds,away.goals,away.behinds,home.score,away.score,round,period
Sydney,Collingwood,16,4,13,9,10,16,87,76,20,66
Essendon,Adelaide,5,1,8,11,27,9,59,171,20,66
North Melbourne,St Kilda,12,15,18,12,11,17,120,83,20,66
Port Adelaide,GWS,13,7,16,15,13,12,111,90,20,66
Geelong,Hawthorn,8,10,12,13,19,7,85,121,20,66
Brisbane,Carlton,2,3,20,11,9,13,131,67,20,66
Richmond,Gold Coast,14,9,22,6,8,7,138,55,20,66
Western Bulldogs,Melbourne,18,11,24,9,8,7,153,55,20,66
Fremantle,West Coast,6,17,11,14,15,14,80,104,20,66
