home.name,away.name,home.number,away.number,home.goals,home.behinds,away.goals,away.behinds,home.score,away.score,round,period
Port Adelaide,Geelong,13,8,11,3,14,8,69,92,11,57
Gold Coast,Fremantle,9,6,7,4,6,17,46,53,11,57
West Coast,Essendon,17,5,14,12,6,10,96,46,11,57
North Melbourne,Sydney,12,16,10,15,14,7,75,91,11,57
Collingwood,GWS,4,7,18,11,11,11,119,77,11,57
St Kilda,Melbourne,15,11,12,13,12,11,85,83,11,57
