home.name,away.name,home.number,away.number,home.goals,home.behinds,away.goals,away.behinds,home.score,away.score,round,period
Sydney,Port Adelaide,16,13,14,10,12,12,94,84,14,60
Collingwood,Hawthorn,4,10,12,19,15,11,91,101,14,60
Richmond,GWS,14,7,10,18,10,9,78,69,14,60
Gold Coast,North Melbourne,9,12,19,11,10,10,125,70,14,60
Western Bulldogs,Carlton,18,3,9,10,7,11,64,53,14,60
Melbourne,West Coast,11,17,9,6,16,18,60,114,14,60
Essendon,St Kilda,5,15,8,4,25,12,52,162,14,60
Fremantle,Brisbane,6,2,13,6,7,6,84,48,14,60
