home.name,away.name,home.number,away.number,home.goals,home.behinds,away.goals,away.behinds,home.score,away.score,round,period
Geelong,Carlton,8,3,22,8,9,9,140,63,8,54
St Kilda,West Coast,15,17,12,6,20,11,78,131,8,54
GWS,Adelaide,7,1,16,12,12,12,108,84,8,54
Gold Coast,Collingwood,9,4,9,9,20,12,63,132,8,54
Hawthorn,Sydney,10,16,9,15,11,7,69,73,8,54
Fremantle,North Melbourne,6,12,17,13,5,12,115,42,8,54
Essendon,Brisbane,5,2,21,10,12,6,136,78,8,54
Melbourne,Western Bulldogs,11,18,15,13,9,10,103,64,8,54
Port Adelaide,Richmond,13,14,5,13,11,10,43,76,8,54
