home.name,away.name,home.number,away.number,home.goals,home.behinds,away.goals,away.behinds,home.score,away.score,round,period
Collingwood,Essendon,4,5,14,8,14,11,92,95,23,69
Richmond,North Melbourne,14,12,16,12,10,7,108,67,23,69
Hawthorn,Carlton,10,3,17,11,8,8,113,56,23,69
Geelong,Adelaide,8,1,17,17,11,14,119,80,23,69
Sydney,Gold Coast,16,9,19,13,9,10,127,64,23,69
Melbourne,GWS,11,7,15,13,11,11,103,77,23,69
Brisbane,Western Bulldogs,2,18,19,16,19,8,130,122,23,69
Port Adelaide,Fremantle,13,6,18,14,8,5,122,53,23,69
West Coast,St Kilda,17,15,18,17,4,6,125,30,23,69
