home.name,away.name,home.number,away.number,home.goals,home.behinds,away.goals,away.behinds,home.score,away.score,round,period
Port Adelaide,Collingwood,13,4,9,12,9,9,66,63,15,61
Richmond,Carlton,14,3,10,11,5,11,71,41,15,61
Essendon,Melbourne,5,11,10,9,7,18,69,60,15,61
Western Bulldogs,Gold Coast,18,9,14,11,11,7,95,73,15,61
North Melbourne,Geelong,12,8,18,12,11,13,120,79,15,61
West Coast,Adelaide,17,1,22,15,14,7,147,91,15,61
GWS,St Kilda,7,15,12,12,6,13,84,49,15,61
Hawthorn,Fremantle,10,6,17,13,6,7,115,43,15,61
Brisbane,Sydney,2,16,7,7,10,10,49,70,15,61
