"","summary.mean","summary.se_mean","summary.sd","summary.2.5.","summary.25.","summary.50.","summary.75.","summary.97.5.","summary.n_eff","summary.Rhat","c_summary.mean.chain.1","c_summary.sd.chain.1","c_summary.2.5..chain.1","c_summary.25..chain.1","c_summary.50..chain.1","c_summary.75..chain.1","c_summary.97.5..chain.1","c_summary.mean.chain.2","c_summary.sd.chain.2","c_summary.2.5..chain.2","c_summary.25..chain.2","c_summary.50..chain.2","c_summary.75..chain.2","c_summary.97.5..chain.2","c_summary.mean.chain.3","c_summary.sd.chain.3","c_summary.2.5..chain.3","c_summary.25..chain.3","c_summary.50..chain.3","c_summary.75..chain.3","c_summary.97.5..chain.3","c_summary.mean.chain.4","c_summary.sd.chain.4","c_summary.2.5..chain.4","c_summary.25..chain.4","c_summary.50..chain.4","c_summary.75..chain.4","c_summary.97.5..chain.4"
"delta",0.752103557471341,0.000528574238241723,0.0461041571603974,0.660273217309931,0.72118236435871,0.751914483750846,0.783011216263371,0.841405943650211,7607.95944438941,0.999694042450121,0.7521429019771,0.0455464067553725,0.661492520431648,0.721423012377985,0.75192018282965,0.782486395985846,0.838241827200266,0.751837624635494,0.0470125212767384,0.655360876948692,0.720683965093334,0.752148875498598,0.783128937668,0.843216577488551,0.752464190587855,0.0463155812016901,0.658180358486995,0.721332426086336,0.753169443199557,0.784585154822952,0.838820778096724,0.751969512684913,0.0455512809337725,0.66522909862973,0.721388419087288,0.750314584418393,0.78206604441606,0.843690093755653
"attackGoals_raw[1,1]",-0.677801641851024,0.0240529659950611,2.22040757034649,-5.11017657086704,-2.12313966092218,-0.67817947594347,0.812516430452155,3.64498780020326,8521.73694843401,1.00014641608333,-0.748216819107664,2.21175405713334,-5.0623264408669,-2.17216541143825,-0.723643407410506,0.753137762584305,3.51862519274117,-0.610988475672739,2.18338398718776,-4.993420710673,-1.97559732081912,-0.608433748152322,0.824716192335584,3.71597330786679,-0.670191769105993,2.24167913335802,-5.13049267203434,-2.11139616434569,-0.689858369570989,0.772283027526384,3.77711180547126,-0.681809503517699,2.24345953424491,-5.24904587379733,-2.18662045548485,-0.686220178361459,0.905738729777488,3.64146437918086
"attackGoals_raw[1,2]",-4.2023944613858,0.0364608980348894,2.82223436257186,-8.89178980406007,-6.44447833884043,-4.31977324158727,-2.21976150224046,1.5348026815994,5991.44295116472,0.999912005962459,-4.17052468080323,2.87780399215232,-8.90139439837269,-6.48719905468076,-4.31384188073132,-2.13700128685725,1.77488512173332,-4.1533886772331,2.80073262051283,-8.90059073911092,-6.42031874822869,-4.24238046822981,-2.13634393958451,1.39591585213886,-4.18519367380234,2.82533169278949,-8.88058374479956,-6.38972272969091,-4.26077320191031,-2.27125592794815,1.61385478667758,-4.30047081370453,2.78350379847789,-8.8877392758646,-6.48856237649582,-4.45658990033567,-2.33779365110853,1.48403635173386
"attackGoals_raw[1,3]",-1.30960023078591,0.0434727888414442,3.01151388911739,-7.33296934339142,-3.35603899986152,-1.29289610044619,0.738887125296024,4.58815054585331,4798.82306494561,1.00010837285847,-1.29274050844562,3.0254990587881,-7.11635454968312,-3.39099854832324,-1.29851209948297,0.765538977779908,4.60591399890874,-1.29316648612546,3.02874556327702,-7.42424380829987,-3.25504716368974,-1.3431338293159,0.746532950628019,4.58903595444731,-1.36845077384159,2.95675396763883,-7.36663508367236,-3.38641734749158,-1.35120917070212,0.652237683687814,4.3611312067581,-1.28404315473098,3.03541430889464,-7.35095033676129,-3.3770860507468,-1.18479192634889,0.791996550176717,4.66167202792379
"attackGoals_raw[1,4]",1.8154908623079,0.0338625518728401,2.3659691809443,-2.90576937449005,0.244514232536685,1.83097649416568,3.42972303265514,6.44970524744976,4881.786699288,0.999845624411376,1.85100388556674,2.39082569651692,-2.72327846158658,0.235659262141715,1.82025847291545,3.45940693976216,6.74950545701949,1.85637307621539,2.36235753625319,-3.05330735153865,0.3539757070583,1.90138833668981,3.36715468121643,6.62370683574444,1.76519798335309,2.34485909275565,-2.84918018370182,0.208571001373833,1.75361993093094,3.36014662785019,6.36308603078444,1.78938850409638,2.36572826430842,-2.9879016658315,0.19680458779058,1.82668368124219,3.51763149891862,6.11523506015937
"attackGoals_raw[1,5]",0.696496774237523,0.0365581350773804,2.36326005101782,-3.96818006318828,-0.888347475644338,0.668297837717033,2.29269944434681,5.52393505549836,4178.83247355805,1.00076767862437,0.674616090182036,2.4447179280177,-4.11526364443213,-0.967872829084838,0.639515381744604,2.32477226264121,5.71683074055921,0.837998112989993,2.34772369547644,-3.66560852824914,-0.749084533661695,0.832402351461207,2.42688326038679,5.52532930698143,0.647706147151238,2.29688539749286,-3.96901638243962,-0.866312863209812,0.600762356867766,2.17211760263081,5.35851452549041,0.625666746626825,2.35683095535431,-3.94878540641139,-0.97464261454751,0.637370785221832,2.2316897546262,5.24860820556535
"attackGoals_raw[1,6]",-0.450879753517582,0.0337009174653354,2.32605896635512,-4.9306664554437,-2.02196077404178,-0.469939281074545,1.12412324291362,4.1398853105195,4763.84905039051,1.00025983960618,-0.417311473985533,2.37405220450185,-4.96124201188835,-2.03556799504633,-0.385603945643889,1.19019786204714,4.2087074153896,-0.395527110227284,2.36363434914922,-5.05315624871993,-1.97325119586789,-0.439072451070488,1.21962006715539,4.49467273731565,-0.44496035567305,2.27072348826846,-4.73247430753428,-1.96062978956247,-0.490834271448176,1.10358470184554,3.86937036043739,-0.545720074184459,2.29268279346797,-5.06382539214018,-2.06981620176285,-0.566841778669814,0.929792910721067,3.99672291844795
"attackGoals_raw[1,7]",-4.2080325454344,0.0366308186400188,3.09840204462497,-8.97958561408688,-6.66121506902028,-4.50210362456145,-2.07641735234358,2.28112243991312,7154.54948767752,0.999748690632994,-4.27807762635723,3.10259882958655,-9.02652304090941,-6.7455648935207,-4.51366746703721,-2.14652937713565,2.12464809443545,-4.19957564713018,3.07150209859616,-8.96607417327496,-6.66095936264521,-4.50102218551838,-1.98450268846246,2.15465893049109,-4.19849117055135,3.0528347041713,-8.96304560676159,-6.60842855771778,-4.47702799319813,-2.10738477278039,2.16528092279808,-4.15598573769884,3.16608281979859,-8.99222710969728,-6.62741176950476,-4.5197976057896,-2.07854948062176,2.77965107798024
"attackGoals_raw[1,8]",2.1618571335544,0.0338430398977511,2.54939445610592,-3.01632848605279,0.464689395794674,2.22750374325632,3.89878435126046,7.02385192369657,5674.60115670446,1.00019115381615,2.19407988359695,2.61334957561655,-2.99397414347315,0.442246166625479,2.17560078577066,3.97859625184731,7.40093299870421,2.23467870092977,2.512118280214,-2.96564143049873,0.54403882528966,2.31910575031504,3.9416550008301,7.02059494306868,2.12832305975498,2.52762526706664,-2.99347373892777,0.466990401870698,2.23194877968958,3.85546414179144,6.92224584424396,2.09034688993591,2.54236945952526,-3.14471977581317,0.440258810107149,2.15045722596917,3.79511871361503,6.8421248755001
"attackGoals_raw[1,9]",-0.988076475671548,0.0326846538108948,2.40852491932038,-5.691966051761,-2.60842758945117,-1.00251836217488,0.608100114435964,3.95151770389824,5430.18354396717,1.00016903060912,-1.02430390607859,2.51396616726582,-5.8715104747802,-2.76240751123204,-1.01161386217864,0.635793406158936,4.04993169177628,-0.917234001984289,2.39821044096696,-5.72735649622224,-2.52038254344249,-0.953402486501219,0.70264854264803,3.95511383335962,-0.997862613051973,2.32242325784554,-5.54021959485595,-2.5140799926255,-1.01812374215815,0.510005693760474,3.86692704167515,-1.01290538157134,2.39557884071449,-5.58573884303874,-2.61198979479058,-1.02994697971933,0.594389979273241,3.94194572815828
