"","summary.mean","summary.se_mean","summary.sd","summary.2.5.","summary.25.","summary.50.","summary.75.","summary.97.5.","summary.n_eff","summary.Rhat","c_summary.mean.chain.1","c_summary.sd.chain.1","c_summary.2.5..chain.1","c_summary.25..chain.1","c_summary.50..chain.1","c_summary.75..chain.1","c_summary.97.5..chain.1","c_summary.mean.chain.2","c_summary.sd.chain.2","c_summary.2.5..chain.2","c_summary.25..chain.2","c_summary.50..chain.2","c_summary.75..chain.2","c_summary.97.5..chain.2","c_summary.mean.chain.3","c_summary.sd.chain.3","c_summary.2.5..chain.3","c_summary.25..chain.3","c_summary.50..chain.3","c_summary.75..chain.3","c_summary.97.5..chain.3","c_summary.mean.chain.4","c_summary.sd.chain.4","c_summary.2.5..chain.4","c_summary.25..chain.4","c_summary.50..chain.4","c_summary.75..chain.4","c_summary.97.5..chain.4"
"delta",0.717043144145925,0.00091398708342716,0.0508691899740582,0.618583580418911,0.682024560780255,0.717012780231121,0.751328875900856,0.817012619278921,3097.62989980007,1.0014945554668,0.714016339340436,0.0513977285430492,0.614762423339407,0.678681977465575,0.714802314524259,0.748698399507223,0.814183271119884,0.717158256150192,0.0494557705988681,0.621873663251955,0.68235024595821,0.716700442076625,0.75043072868001,0.816188779148543,0.720575651797358,0.0499145895474835,0.626091211822658,0.687257520046275,0.720111531457059,0.753607097731547,0.820018707832166,0.716422329295712,0.052466091652444,0.612122642003128,0.679803935837436,0.716594907340744,0.751891918703465,0.817744343716085
"u_att_G_raw[1,1]",-1.43951715757094,0.0175867707067381,0.855263795980848,-3.16099217002239,-1.9967499083355,-1.42012047163377,-0.866047230076511,0.1631455897826,2364.98273170886,1.00066140888436,-1.41310337016326,0.853751174803107,-3.14327044680394,-1.97325971743135,-1.38264696801472,-0.841781107088695,0.182101154079068,-1.44852030297366,0.8702075025369,-3.21929834678104,-2.03385377119422,-1.42027082408615,-0.857154874278788,0.147441207600301,-1.42616035630653,0.845873542154117,-3.04199626212566,-1.99103156085816,-1.4189374707819,-0.880039617638534,0.191999227294002,-1.47028460084032,0.850425778020874,-3.22668776482431,-1.992267073653,-1.44655601761198,-0.889718754748413,0.109886155847122
"u_att_G_raw[1,2]",-1.98940779955345,0.0169549801507698,0.970660190815165,-3.94492914821479,-2.63738667963024,-1.952501001386,-1.31809491964858,-0.142755415269176,3277.47860704561,1.00098806760471,-1.97708430731032,0.973785346814522,-3.85961800446383,-2.65347643457473,-1.92544166740024,-1.31340721271102,-0.105028191810589,-1.99085704131041,0.992560733813356,-3.93729868137151,-2.68187652269969,-1.94327654446698,-1.28844726605895,-0.133185150171105,-1.96312920858521,0.941634629657177,-3.92128023059813,-2.57570284032026,-1.92764223268537,-1.30211230032397,-0.20630340654087,-2.02656064100784,0.973406209772241,-4.03073728462032,-2.64261745212247,-2.01735069150351,-1.35646456877128,-0.161224819922513
"u_att_G_raw[1,3]",-1.64599570669444,0.0195278167360494,0.956262371818052,-3.55021723433421,-2.2877379666437,-1.62706610779298,-1.00475877740273,0.202591251084647,2397.98660356976,1.00000725716682,-1.61712980826925,0.955043195021118,-3.49417776594778,-2.26165970089992,-1.59975144614753,-0.958481475781896,0.224912401580203,-1.64017258226969,0.961707625267264,-3.52878679388634,-2.28477435842348,-1.63528918487946,-0.987390845889092,0.172875626060558,-1.65640405065804,0.964104807142944,-3.64079324208527,-2.30202982446406,-1.62480240022362,-1.01504243485368,0.22436499263649,-1.67027638558077,0.943819823514989,-3.5652484198181,-2.30102659839669,-1.65398097261311,-1.06096338131279,0.158852987455554
"u_att_G_raw[1,4]",-0.843800288255684,0.0172682411276347,0.775429658679386,-2.38714514612666,-1.35646956670711,-0.834359116365862,-0.32025714609921,0.65092717390145,2016.45533676302,1.00043944836659,-0.819578188840177,0.770105234380167,-2.37450058594751,-1.31123105334772,-0.809898877794689,-0.308118207812615,0.676694010132478,-0.86584234690133,0.785586087364057,-2.39463897646775,-1.41657430331059,-0.856198064598471,-0.327363358415388,0.648220538158785,-0.8483853337192,0.773761076675233,-2.39191683119291,-1.35492532444557,-0.829903643655753,-0.318912682437229,0.592319587575702,-0.84139528356203,0.771928024391253,-2.36182895003511,-1.34689837561636,-0.83812884625757,-0.322688795464156,0.678181222027295
"u_att_G_raw[1,5]",0.249611406872928,0.0174114873309142,0.701755365101486,-1.10867908206461,-0.225509865710408,0.250286104382846,0.720745579107344,1.64611955941844,1624.42528496476,1.00125261559402,0.266818723847404,0.717665834942727,-1.11192532201759,-0.220542733756075,0.253249943613816,0.740758502056166,1.72678732361637,0.238261134314959,0.698687182007629,-1.15435777533803,-0.226763922056423,0.240038475092682,0.701184861395518,1.64585201425855,0.268952476196891,0.701621084989939,-1.05634624664074,-0.205426575935971,0.272293136992924,0.742430430995041,1.65617808657895,0.224413293132457,0.688127071828669,-1.08950675608481,-0.252848969068275,0.234780387581037,0.69816896146725,1.53578595916081
"u_att_G_raw[1,6]",-0.597178217790514,0.0182217251015446,0.717908801854629,-2.03066254603978,-1.06713808166466,-0.592087681631352,-0.113270151348754,0.8146428423451,1552.24251767564,1.00118000247096,-0.566679513077405,0.712101310697679,-1.93054013817177,-1.04452012668778,-0.554160751148855,-0.0894592548492485,0.79571811991843,-0.62540880668811,0.71279722062049,-2.07787144378425,-1.09635982902367,-0.623586899664229,-0.146873907532999,0.765427343046318,-0.578043767829534,0.727712445359743,-2.04609854541525,-1.04667800098409,-0.574060361795024,-0.0962387666414797,0.851232839866707,-0.618580783567008,0.717568810383678,-2.0692384132908,-1.07866434689871,-0.617060392668287,-0.134351902673621,0.801051841340666
"u_att_G_raw[1,7]",-1.99502097578444,0.0178377767761656,1.01326124175674,-4.01295148058285,-2.65826054638533,-1.97760701007689,-1.31169222393968,-0.014565690015015,3226.72097309087,1.00058328805684,-1.96346615305736,1.01044309623493,-3.9218134858283,-2.64828251032067,-1.95075935928388,-1.32284377442799,0.081210317938147,-2.00893091148324,1.01989021132286,-4.02840008563577,-2.66040594612274,-1.98534384777595,-1.30978757956941,-0.0502640457499434,-1.99940561446088,1.02126370245606,-4.06764884939332,-2.65584330178666,-1.99143442531068,-1.31553813890507,-0.0778664107794056,-2.00828122413627,1.00124435432214,-4.00821650670047,-2.67123844145736,-1.98439440833138,-1.30879433481208,-0.0581596880550144
"u_att_G_raw[1,8]",-1.06748576626524,0.0181095719416282,0.887758582131151,-2.87271195122633,-1.65794197718829,-1.05544903417512,-0.451943168235974,0.618924170577505,2403.10855149313,1.00036449348549,-1.03306223786818,0.898433781738181,-2.93341414964688,-1.62732244464454,-1.01382831358675,-0.410831486274139,0.701040100401198,-1.08767820559403,0.876437438627186,-2.8278229236132,-1.66610683563044,-1.06807630928699,-0.491081015777149,0.547428964527719,-1.06137955642078,0.881971042944841,-2.83046259058301,-1.64336502928922,-1.06444368611744,-0.445132752390826,0.629589035325078,-1.08782306517795,0.893400318781913,-2.88719534796355,-1.69081558756448,-1.06160037920003,-0.450572391119926,0.559799421296357
"u_att_G_raw[1,9]",-1.00451018233176,0.0174247530253999,0.764547436730118,-2.5073947286159,-1.51870341787576,-1.00167708424087,-0.484553646322965,0.486272348351131,1925.19892617914,1.00105288412537,-0.963235120798206,0.769367691232601,-2.50103605880508,-1.47635633379435,-0.94891246238395,-0.460695721781037,0.52398807079692,-1.02083178137866,0.76767812281238,-2.50744439255705,-1.53968285530755,-1.02286155633141,-0.508530374762417,0.487395317550594,-1.01174833431475,0.759024501567689,-2.51649803885107,-1.5184047996545,-0.989202147357323,-0.479122557888606,0.459872935449706,-1.02222549283542,0.761000085603729,-2.516954343997,-1.53629125393204,-1.04120501432745,-0.501055600489246,0.481801641487165
