home.name,away.name,home.number,away.number,home.goals,home.behinds,away.goals,away.behinds,home.score,away.score,round,period
Hawthorn,Port Adelaide,10,13,13,8,16,12,86,108,21,67
Collingwood,Richmond,4,14,7,14,23,9,56,147,21,67
GWS,Sydney,7,16,6,8,20,13,44,133,21,67
Gold Coast,Essendon,9,5,14,13,14,11,97,95,21,67
St Kilda,Geelong,15,8,14,13,15,7,97,97,21,67
Adelaide,Brisbane,1,2,20,11,6,8,131,44,21,67
North Melbourne,Fremantle,12,6,14,10,12,11,94,83,21,67
Carlton,Melbourne,3,11,12,6,7,13,78,55,21,67
West Coast,Western Bulldogs,17,18,25,12,13,7,162,85,21,67
