home.name,away.name,home.number,away.number,home.goals,home.behinds,away.goals,away.behinds,home.score,away.score,round,period
Carlton,Collingwood,3,4,6,9,18,12,45,120,5,51
Richmond,Geelong,14,8,11,10,12,13,76,85,5,51
Sydney,Western Bulldogs,16,18,10,13,11,11,73,77,5,51
Gold Coast,Brisbane,9,2,18,10,7,12,118,54,5,51
North Melbourne,Hawthorn,12,10,10,10,19,16,70,130,5,51
West Coast,GWS,17,7,18,12,4,9,120,33,5,51
Melbourne,Fremantle,11,6,6,14,18,10,50,118,5,51
St Kilda,Essendon,15,5,11,14,11,16,80,82,5,51
Adelaide,Port Adelaide,1,13,13,13,18,7,91,115,5,51
