home.name,away.name,home.number,away.number,home.goals,home.behinds,away.goals,away.behinds,home.score,away.score,round,period
West Coast,Carlton,17,3,20,11,9,8,131,62,2,48
Richmond,Western Bulldogs,14,18,9,12,12,13,66,85,2,48
GWS,Melbourne,7,11,15,11,8,8,101,56,2,48
Collingwood,Adelaide,4,1,9,9,12,18,63,90,2,48
Gold Coast,St Kilda,9,15,10,16,16,8,76,104,2,48
Port Adelaide,Sydney,13,16,6,8,14,8,44,92,2,48
Geelong,Fremantle,8,6,9,6,15,14,60,104,2,48
Essendon,Hawthorn,5,10,12,6,11,10,78,76,2,48
North Melbourne,Brisbane,12,2,20,13,7,9,133,51,2,48
