"","V1","V2","V3"
"1","Goal attack mean estimates","Behind attack mean estimates","defend means estimates"
"2","0.0458981620810752","0.122929101020987","0.0639405076226981"
"3","-0.215289961481581","-0.169064851653592","-0.161844144190348"
"4","-0.145603827553393","-0.111866094195225","-0.0771041507501961"
"5","0.00504584540701861","-0.0077165675529656","0.0311763823635596"
"6","-0.0776904815549245","0.0255261961511366","0.00449468576779931"
"7","0.218870068426854","0.0473776021135588","0.0393968547980382"
"8","-0.155009379436494","-0.0677877354297475","-0.184612422857431"
"9","0.130369507485228","0.0789782305502053","0.143911737328095"
"10","-0.0803352189979637","-0.134975262193161","-0.133661673878067"
"11","0.239545098901921","0.070661161160171","0.307108489928944"
"12","-0.216337136342574","-0.125148062426985","-0.211325207780263"
"13","0.165197828720833","0.0179613921084566","0.00482822041636502"
"14","-0.0105228029618922","0.0827443656879342","0.105622469681372"
"15","0.123575887477476","-0.00933388030990998","0.0397160237751375"
"16","-0.20490795288452","-0.0698139320219829","-0.16196181333344"
"17","0.238072338361174","0.133653986808712","0.100470220468238"
"18","0.0598822645107729","0.124865503561961","0.0883748132446117"
"19","-0.120760240159011","-0.00899115337955275","0.00146900739488684"
