home.name,away.name,home.number,away.number,home.goals,home.behinds,away.goals,away.behinds,home.score,away.score,round,period
Adelaide,Richmond,1,14,11,22,8,4,88,52,19,65
Collingwood,Carlton,4,3,16,9,13,9,105,87,19,65
Western Bulldogs,Port Adelaide,18,13,19,14,9,10,128,64,19,65
Brisbane,Gold Coast,2,9,14,16,17,12,100,114,19,65
Geelong,Sydney,8,16,14,11,9,9,95,63,19,65
West Coast,Hawthorn,17,10,11,8,13,10,74,88,19,65
Melbourne,North Melbourne,11,12,14,8,19,13,92,127,19,65
GWS,Essendon,7,5,14,9,8,13,93,61,19,65
St Kilda,Fremantle,15,6,8,11,15,6,59,96,19,65
