home.name,away.name,home.number,away.number,home.goals,home.behinds,away.goals,away.behinds,home.score,away.score,round,period
Fremantle,Richmond,6,14,10,10,15,7,70,97,10,56
Carlton,Adelaide,3,1,14,6,14,15,90,99,10,56
Gold Coast,Sydney,9,16,5,11,13,15,41,93,10,56
Essendon,Geelong,5,8,7,11,19,8,53,122,10,56
Port Adelaide,Western Bulldogs,13,18,16,4,9,8,100,62,10,56
GWS,Brisbane,7,2,14,13,10,7,97,67,10,56
North Melbourne,West Coast,12,17,13,7,10,15,85,75,10,56
St Kilda,Hawthorn,15,10,10,9,20,12,69,132,10,56
Melbourne,Collingwood,11,4,13,7,17,8,85,110,10,56
