home.name,away.name,home.number,away.number,home.goals,home.behinds,away.goals,away.behinds,home.score,away.score,round,period
Adelaide,Hawthorn,1,10,12,13,17,12,85,114,12,58
Richmond,West Coast,14,17,10,10,13,12,70,90,12,58
Carlton,Port Adelaide,3,13,17,8,16,10,110,106,12,58
GWS,North Melbourne,7,12,8,13,18,9,61,117,12,58
Western Bulldogs,Brisbane,18,2,22,14,11,8,146,74,12,58
Geelong,Melbourne,8,11,13,11,18,5,89,113,12,58
