"","summary.mean","summary.se_mean","summary.sd","summary.2.5.","summary.25.","summary.50.","summary.75.","summary.97.5.","summary.n_eff","summary.Rhat","c_summary.mean.chain.1","c_summary.sd.chain.1","c_summary.2.5..chain.1","c_summary.25..chain.1","c_summary.50..chain.1","c_summary.75..chain.1","c_summary.97.5..chain.1","c_summary.mean.chain.2","c_summary.sd.chain.2","c_summary.2.5..chain.2","c_summary.25..chain.2","c_summary.50..chain.2","c_summary.75..chain.2","c_summary.97.5..chain.2","c_summary.mean.chain.3","c_summary.sd.chain.3","c_summary.2.5..chain.3","c_summary.25..chain.3","c_summary.50..chain.3","c_summary.75..chain.3","c_summary.97.5..chain.3","c_summary.mean.chain.4","c_summary.sd.chain.4","c_summary.2.5..chain.4","c_summary.25..chain.4","c_summary.50..chain.4","c_summary.75..chain.4","c_summary.97.5..chain.4"
"delta",0.728929897412557,0.000897360693304074,0.0480207993620686,0.635891385628469,0.696406177085824,0.729069962744286,0.761039383125151,0.824310889296105,2863.68131236198,1.00115935906048,0.729355177294283,0.0471455308430754,0.635878370717344,0.698284557056491,0.729996440305226,0.760341936960536,0.820903686464017,0.726571396032784,0.0482166062489615,0.63261777547862,0.693253269056724,0.726014054229078,0.759538255388939,0.821863146711705,0.72994167555136,0.0474746615491844,0.640523386926308,0.69765038182796,0.730437470484858,0.761629473700234,0.827146073451559,0.729851340771801,0.0491706427788317,0.633283973324727,0.6968653516898,0.72928959992655,0.76322984939439,0.829303679870584
"u_att_G_raw[1,1]",-1.76704782127048,0.0196447660823921,0.951714038945058,-3.66950162727838,-2.4053563963097,-1.74811100172452,-1.12694156070942,0.0771094706769523,2347.03317168958,1.00068809931956,-1.76627188804988,0.947691422878756,-3.6064107698447,-2.40088892751906,-1.76360461845611,-1.11509490895397,0.074912815098359,-1.76385633542423,0.9556996814716,-3.60138972602867,-2.406922962096,-1.75150639591974,-1.13195208624367,0.074929629262353,-1.80222050657741,0.977281090600773,-3.76265749638008,-2.44940219037745,-1.78311338293698,-1.15887257166554,0.125276445016689,-1.73584255503039,0.924848088527147,-3.67775837059401,-2.35359249382512,-1.68705369227897,-1.10931878418607,0.0103918847873752
"u_att_G_raw[1,2]",-1.92237418212302,0.0185117603752808,1.00825308226093,-3.96657201661874,-2.59113045180347,-1.89681566844974,-1.22703214035938,0.0156159273866374,2966.49538331968,1.00210223710802,-1.91521440143943,0.972476245775652,-3.86621462492882,-2.57439983323481,-1.9134334983354,-1.26735265588288,0.0475346477418029,-1.94271296716999,1.03299416561758,-4.0492817985095,-2.63377569042208,-1.90928739049271,-1.21294218300647,-0.00252765270436585,-1.9618385808526,1.02881957994817,-4.01486355896698,-2.66417920135897,-1.93650266115994,-1.24168230702923,-0.00074515603236958,-1.86973077903009,0.995723431690816,-3.92191335717124,-2.53010757722254,-1.81699696788328,-1.18175479808403,0.00205020788568491
"u_att_G_raw[1,3]",-1.82645076458755,0.0201206430159741,0.973209572157295,-3.78083570434392,-2.47415239751409,-1.80879433506359,-1.15389470990896,0.0077359977137592,2339.53222776141,1.00177301158965,-1.81766263290609,0.957745870130567,-3.76919872736991,-2.46376899772795,-1.7958973905373,-1.16425950814906,-0.0256106335174381,-1.80994635844925,0.965703765293548,-3.72120572396872,-2.45481844963551,-1.79919418636196,-1.14576731416741,0.0669458890753572,-1.88134366322682,0.987253552974506,-3.85375953584062,-2.54016226897178,-1.86592656579103,-1.21283675762053,0.00481442646638082,-1.79685040376804,0.980261841467131,-3.79588246873376,-2.443677750383,-1.77323467195765,-1.12339659674978,-0.013925256218607
"u_att_G_raw[1,4]",-0.969771219650956,0.0202521174576717,0.851591893372987,-2.6659681298185,-1.53029310384556,-0.959980447085527,-0.406921893775078,0.665434538083722,1768.16244489777,1.0017287514013,-0.984168437283562,0.828566683510762,-2.65195609373663,-1.52591620847061,-0.980163016976674,-0.439477694272348,0.626519834150705,-0.968642901138672,0.85213162705835,-2.73754095571977,-1.51819631850769,-0.961895939363845,-0.415997890176801,0.657208576925899,-1.00951825771739,0.86872649688109,-2.63891111411535,-1.59923898106367,-0.993544117415025,-0.416676799326979,0.655393209862306,-0.916755282464195,0.854264546240681,-2.65634451175089,-1.48981834552758,-0.900429469278214,-0.349732309236256,0.712724447756054
"u_att_G_raw[1,5]",0.176371335977012,0.0194180027526616,0.759768706067256,-1.34990402669712,-0.320964096763811,0.191114512625692,0.687793335656374,1.65114744994648,1530.92419381254,1.00213684326238,0.20430871573684,0.755511056031628,-1.26077561109559,-0.31261761490141,0.215142197008284,0.708569084763337,1.69410485784467,0.158543080795769,0.761604864113509,-1.38114471882933,-0.338310411694224,0.171342217649549,0.645717616597218,1.64070661061352,0.13841136081773,0.76456443345069,-1.36941357324825,-0.362270896455333,0.151170100635064,0.681888951400956,1.58962323774204,0.204222186557708,0.755627503828904,-1.35992441530054,-0.267471243380575,0.214222567048894,0.711074099977509,1.61489368830284
"u_att_G_raw[1,6]",-0.657408323593058,0.0184139960122555,0.767746171694298,-2.18332197470382,-1.17295561073703,-0.651830907807939,-0.136273991559957,0.823753095545223,1738.35803600336,1.00219439793933,-0.647648861254813,0.782149938613877,-2.2098662206379,-1.16169480718289,-0.63135815713362,-0.114887063697518,0.87236272852059,-0.66290806833738,0.758592519309842,-2.1678135917441,-1.1829367808262,-0.644900526037337,-0.159156053229988,0.818594484986135,-0.690521077685155,0.76428914224271,-2.16682226114377,-1.21123959752504,-0.701884644431776,-0.170763742615028,0.777039945355643,-0.628555287094885,0.764872566044443,-2.1677613538951,-1.11988942538097,-0.633314106955464,-0.0981427140586644,0.815530191040128
"u_att_G_raw[1,7]",-1.99837514984217,0.0200747239230464,1.03974614153821,-4.06025832943693,-2.68971374379712,-1.9937918658696,-1.28808363342377,0.0183431213945443,2682.59723139217,1.0004862098603,-1.96782127084733,1.03674582073888,-4.08344655623099,-2.64353393895078,-1.9590162984663,-1.30117381374148,0.0751992863041502,-2.0255297531369,1.0458805343871,-4.04668562153583,-2.73937392325234,-2.00079074770517,-1.29290336311628,-0.0651898647012932,-2.0372678441291,1.04662935456519,-4.12754913756734,-2.72707690347473,-2.04827839592927,-1.33165534595916,-0.00126466865481394,-1.96288173125534,1.02810498082486,-3.9622348786252,-2.65547166666719,-1.98653712823338,-1.25728581081954,0.0230164256125751
"u_att_G_raw[1,8]",-1.15169511876986,0.0194330760529956,0.917315917656264,-2.98095839874428,-1.75923035543104,-1.14187064361955,-0.513593179579037,0.584052854693293,2228.20302056759,1.00144919255832,-1.14751467170497,0.90983870378132,-2.91249418024722,-1.77084284229276,-1.13394671022424,-0.545680418471286,0.673837311372436,-1.15787287769203,0.926284186304289,-3.03364751966996,-1.74601551746924,-1.14431687035492,-0.505691346260795,0.565044118701965,-1.19111097979424,0.931635998730429,-3.07061576258763,-1.81863338561424,-1.17397500162751,-0.532686468815001,0.538958262424573,-1.11028194588821,0.899891110351428,-2.8891589562179,-1.69458050412156,-1.10496698008431,-0.47392111020332,0.60331166381354
"u_att_G_raw[1,9]",-1.02390749741314,0.0190298477842586,0.808141294071054,-2.61000474110709,-1.56326873590203,-1.01311689242311,-0.473586630630594,0.515408607338741,1803.44942844275,1.00232420229597,-1.0220477782804,0.788012046031933,-2.59303461291213,-1.53961120214769,-0.999768906796256,-0.478929728084361,0.466211989397407,-1.02098631075527,0.806632803942739,-2.66124233959675,-1.56152855391793,-0.991604542536631,-0.472583036996179,0.505579709543982,-1.05756650268298,0.817482607808649,-2.70106626508031,-1.60361383927563,-1.03743323046869,-0.505122916625788,0.494162033798809,-0.995029397933893,0.819314648343428,-2.5316366892714,-1.55077487104642,-1.01794245726338,-0.429658971467786,0.612013829427083
