home.name,away.name,home.number,away.number,home.goals,home.behinds,away.goals,away.behinds,home.score,away.score,round,period
Fremantle,Collingwood,6,4,12,8,11,7,80,73,13,59
Sydney,Richmond,16,14,11,11,14,11,77,95,13,59
Hawthorn,Essendon,10,5,16,18,11,10,114,76,13,59
Brisbane,Adelaide,2,1,10,9,11,16,69,82,13,59
St Kilda,Western Bulldogs,15,18,7,14,9,8,56,62,13,59
Carlton,Gold Coast,3,9,14,19,9,15,103,69,13,59
