"","V1","V2","V3"
"1","Goal attack mean estimates","Behind attack mean estimates","defend means estimates"
"2","0.0568480249648338","0.140069097606323","0.0557905075294036"
"3","-0.268109716764964","-0.21600965132023","-0.173563882774675"
"4","-0.168987780769522","-0.107855135053569","-0.0628867933231868"
"5","0.0650715425566015","0.0523465688004933","0.0628101260283877"
"6","-0.0810410891860551","-0.0264681964800428","0.00433609295247463"
"7","0.318872930406089","0.0428383105481288","0.0415850171924552"
"8","-0.234939032423558","-0.0978704115433468","-0.195841366379163"
"9","0.18845750024819","0.103468515378232","0.115506742103406"
"10","-0.135330455064408","-0.126587828049413","-0.133200615906605"
"11","0.350979340628248","0.0935474899242811","0.356878229975661"
"12","-0.346086388229288","-0.126453172780968","-0.2373293915371"
"13","0.219678027927319","0.00169497533565115","-0.0139209494277966"
"14","-0.0363885749057737","0.140889793360811","0.131107031481394"
"15","0.176598019471914","-0.0324515859922559","0.0499730929953622"
"16","-0.322996258613705","-0.127745434667534","-0.186408787750755"
"17","0.358716721893279","0.15002991661133","0.134092519645869"
"18","0.101784785356457","0.16004627916964","0.0890294408804046"
"19","-0.243127597495657","-0.0234895308475309","-0.0379570136855362"
