home.name,away.name,home.number,away.number,home.goals,home.behinds,away.goals,away.behinds,home.score,away.score,round,period
Geelong,Collingwood,8,4,9,8,17,8,62,110,22,68
GWS,Carlton,7,3,20,12,7,9,132,51,22,68
Hawthorn,Brisbane,10,2,21,8,9,8,134,62,22,68
North Melbourne,Western Bulldogs,12,18,10,13,14,12,73,96,22,68
Essendon,Richmond,5,14,7,5,10,14,47,74,22,68
Gold Coast,Port Adelaide,9,13,7,9,12,16,51,88,22,68
Adelaide,West Coast,1,17,19,12,10,9,126,69,22,68
St Kilda,Sydney,15,16,4,14,20,15,38,135,22,68
Fremantle,Melbourne,6,11,17,6,8,6,108,54,22,68
