home.name,away.name,home.number,away.number,home.goals,home.behinds,away.goals,away.behinds,home.score,away.score,round,period
Collingwood,Geelong,4,8,8,11,15,10,59,100,6,52
North Melbourne,Richmond,12,14,16,13,10,14,109,74,6,52
Western Bulldogs,St Kilda,18,15,13,9,14,10,87,94,6,52
GWS,Hawthorn,7,10,16,12,14,14,108,98,6,52
Gold Coast,Adelaide,9,1,11,12,18,11,78,119,6,52
Melbourne,Sydney,11,16,7,8,12,16,50,88,6,52
Fremantle,Essendon,6,5,12,8,7,10,80,52,6,52
Carlton,Brisbane,3,2,11,9,12,12,75,84,6,52
Port Adelaide,West Coast,13,17,10,8,11,12,68,78,6,52
