"","V1","V2","V3"
"1","Goal attack mean estimates","Behind attack mean estimates","defend means estimates"
"2","0.12002424158664","0.140782996845533","0.0913379428888459"
"3","-0.314772759145899","-0.24324019092009","-0.178505519947202"
"4","-0.207318308819227","-0.126558426382356","-0.112586527585937"
"5","0.0572628052894456","0.0416269151932192","0.0465804544831087"
"6","-0.16386062675885","0.0149536214318282","-0.0122336377571087"
"7","0.311331819655677","0.0100244775721446","0.063167699319643"
"8","-0.239801004589317","-0.11130106377619","-0.210032156589335"
"9","0.181933504312532","0.12083159832975","0.12877639160979"
"10","-0.189191790124077","-0.164809904164194","-0.144078564809011"
"11","0.411414645960095","0.0552622546566007","0.337883230901668"
"12","-0.357559959281586","-0.135223355332358","-0.241770878422991"
"13","0.220665269852085","-0.00597925768606636","-0.00641459853756469"
"14","0.00742654744463812","0.132889894757822","0.151709524887891"
"15","0.216352625225504","0.00554853226934183","0.0556328497767762"
"16","-0.396383135741019","-0.0563700220250891","-0.186539617066816"
"17","0.393139482929014","0.171079211343119","0.127232536440321"
"18","0.126458795533784","0.181179125715282","0.100903086909124"
"19","-0.177122153329442","-0.0306964078282969","-0.0110622165012016"
