home.name,away.name,home.number,away.number,home.goals,home.behinds,away.goals,away.behinds,home.score,away.score,round,period
Collingwood,St Kilda,4,15,21,14,10,6,140,66,3,49
Carlton,Essendon,3,5,11,18,16,9,84,105,3,49
Adelaide,Melbourne,1,11,12,8,7,13,80,55,3,49
Sydney,GWS,16,7,16,15,12,18,111,90,3,49
North Melbourne,Port Adelaide,12,13,16,9,17,11,105,113,3,49
Brisbane,Richmond,2,14,8,10,21,11,58,137,3,49
Hawthorn,Western Bulldogs,10,18,19,13,8,9,127,57,3,49
Geelong,Gold Coast,8,9,16,9,13,18,105,96,3,49
West Coast,Fremantle,17,6,12,9,17,9,81,111,3,49
