home.name,away.name,home.number,away.number,home.goals,home.behinds,away.goals,away.behinds,home.score,away.score,round,period
North Melbourne,Essendon,12,5,14,9,9,14,93,68,16,62
Geelong,Western Bulldogs,8,18,10,12,9,10,72,64,16,62
Gold Coast,GWS,9,7,12,7,13,16,79,94,16,62
Collingwood,West Coast,4,17,7,14,11,21,56,87,16,62
Sydney,Hawthorn,16,10,7,15,23,8,57,146,16,62
Fremantle,Carlton,6,3,13,17,8,5,95,53,16,62
Melbourne,Brisbane,11,2,8,12,4,12,60,36,16,62
Port Adelaide,Adelaide,13,1,17,11,18,8,113,116,16,62
St Kilda,Richmond,15,14,10,13,13,11,73,89,16,62
