home.name,away.name,home.number,away.number,home.goals,home.behinds,away.goals,away.behinds,home.score,away.score,round,period
Sydney,Carlton,16,3,19,8,9,8,122,62,9,55
Hawthorn,Gold Coast,10,9,14,9,6,4,93,40,9,55
Melbourne,Port Adelaide,11,13,8,6,18,7,54,115,9,55
Western Bulldogs,GWS,18,7,16,17,11,2,113,68,9,55
Richmond,Essendon,14,5,10,12,8,11,72,59,9,55
Adelaide,Fremantle,1,6,7,15,10,8,57,68,9,55
Brisbane,St Kilda,2,15,13,8,16,12,86,108,9,55
Collingwood,North Melbourne,4,12,17,10,14,11,112,95,9,55
West Coast,Geelong,17,8,16,24,10,4,120,64,9,55
